!!SBtab SBtabVersion="0.8" Document="recon2.v02" TableType="Compound" TableName="Compound"							
!Compound	!Name	!Location	!Charge	!IsConstant	!SBOTerm	!InitialConcentration	!Identifiers:obo.chebi
M_h2o2_c	Hydrogen peroxide	c	0	False	247	1.0	CHEBI:16240
M_nh4_c	Ammonium	c	1	False	247	1.0	CHEBI:28938
M_2425dhvitd2_m	24R,25-Dihyoxyvitamin D2	m	0	False	247	1.0	
M_h_m	proton	m	1	False	247	1.0	CHEBI:24636
M_nadph_m	Nicotinamide adenine dinucleotide phosphate - reduced	m	-4	False	247	1.0	CHEBI:57783
M_o2_m	O2	m	0	False	247	1.0	CHEBI:15379
M_1a2425thvitd2_m	1-alpha,24R,25-Trihydroxyvitamin D2	m	0	False	247	1.0	
M_h2o_m	H2O	m	0	False	247	1.0	CHEBI:15377
M_nadp_m	Nicotinamide adenine dinucleotide phosphate	m	-3	False	247	1.0	CHEBI:58349
M_2425dhvitd3_m	(24R)-24,25-dihydroxycalciol	m	0	False	247	1.0	CHEBI:28818
M_1a2425thvitd3_m	calcitetrol	m	0	False	247	1.0	CHEBI:47799
M_1a25dhvitd2_m	1-alpha,25-Dihydroxyvitamin D2	m	0	False	247	1.0	
M_1a25dhvitd3_m	calcitriol	m	0	False	247	1.0	CHEBI:17823
M_1mncam_c	1-methylnicotinamide	c	1	False	247	1.0	CHEBI:16797
M_atp_c	ATP(4-)	c	-4	False	247	1.0	CHEBI:30616
M_1mncam_e	1-methylnicotinamide	e	1	False	247	1.0	CHEBI:16797
M_adp_c	ADP	c	-3	False	247	1.0	CHEBI:16761
M_h_c	proton	c	1	False	247	1.0	CHEBI:24636
M_pi_c	hydrogenphosphate	c	-2	False	247	1.0	CHEBI:43474
M_1pipdn2c_x	1-piperideine-2-carboxylate	x	0	False	247	1.0	CHEBI:16187
M_h_x	proton	x	1	False	247	1.0	CHEBI:24636
M_nadh_x	Nicotinamide adenine dinucleotide - reduced	x	-2	False	247	1.0	CHEBI:57945
M_Lpipecol_x	L-pipecolic acid	x	0	False	247	1.0	CHEBI:30913
M_nad_x	Nicotinamide adenine dinucleotide	x	-1	False	247	1.0	CHEBI:57540
M_2425dhvitd2_c	24R,25-Dihyoxyvitamin D2	c	0	False	247	1.0	
M_2425dhvitd2_e	24R,25-Dihyoxyvitamin D2	e	0	False	247	1.0	
M_2425dhvitd3_c	(24R)-24,25-dihydroxycalciol	c	0	False	247	1.0	CHEBI:28818
M_2425dhvitd3_e	(24R)-24,25-dihydroxycalciol	e	0	False	247	1.0	CHEBI:28818
M_25hvitd2_m	25-Hydroxyvitamin D2	m	0	False	247	1.0	
M_25hvitd3_m	calcidiol	m	0	False	247	1.0	CHEBI:17933
M_24nph_e	2-hydroxy-4-nitrophenolate	e	0	False	247	1.0	CHEBI:57730
M_24nph_c	2-hydroxy-4-nitrophenolate	c	0	False	247	1.0	CHEBI:57730
M_25hvitd2_c	25-Hydroxyvitamin D2	c	0	False	247	1.0	
M_25hvitd2_e	25-Hydroxyvitamin D2	e	0	False	247	1.0	
M_25hvitd3_c	calcidiol	c	0	False	247	1.0	CHEBI:17933
M_25hvitd3_e	calcidiol	e	0	False	247	1.0	CHEBI:17933
M_2amac_c	2-aminoacrylic acid	c	0	False	247	1.0	CHEBI:17123
M_pyr_c	pyruvate	c	-1	False	247	1.0	CHEBI:15361
M_nadph_c	Nicotinamide adenine dinucleotide phosphate - reduced	c	-4	False	247	1.0	CHEBI:57783
M_paps_c	(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-4-hydroxy-2-({[(sulfonatooxy)phosphinato]oxy}methyl)oxolan-3-yl phosphate	c	-4	False	247	1.0	CHEBI:58339
M_Lcyst_c	L-cysteate(1-)	c	-1	False	247	1.0	CHEBI:58090
M_nadp_c	Nicotinamide adenine dinucleotide phosphate	c	-3	False	247	1.0	CHEBI:58349
M_pap_c	adenosine 3,5-bismonophosphate(4-)	c	-4	False	247	1.0	CHEBI:58343
M_L2aadp_c	L-2-aminoadipate(1-)	c	-1	False	247	1.0	CHEBI:58672
M_akg_m	2-Oxoglutarate	m	-2	False	247	1.0	CHEBI:16810
M_L2aadp_m	L-2-aminoadipate(1-)	m	-1	False	247	1.0	CHEBI:58672
M_akg_c	2-Oxoglutarate	c	-2	False	247	1.0	CHEBI:16810
M_2dr1p_c	2-Deoxy-D-ribose 1-phosphate	c	-2	False	247	1.0	CHEBI:58576
M_drib_c	2-deoxy-D-ribose	c	0	False	247	1.0	CHEBI:28816
M_2hb_c	2-Hydroxybutyrate	c	-1	False	247	1.0	CHEBI:1148
M_nad_c	Nicotinamide adenine dinucleotide	c	-1	False	247	1.0	CHEBI:57540
M_2obut_c	2-Oxobutanoate	c	-1	False	247	1.0	CHEBI:16763
M_nadh_c	Nicotinamide adenine dinucleotide - reduced	c	-2	False	247	1.0	CHEBI:57945
M_2hb_e	2-Hydroxybutyrate	e	-1	False	247	1.0	CHEBI:1148
M_h_e	proton	e	1	False	247	1.0	CHEBI:24636
M_hco3_e	Bicarbonate	e	-1	False	247	1.0	CHEBI:17544
M_na1_e	Sodium	e	1	False	247	1.0	
M_hco3_c	Bicarbonate	c	-1	False	247	1.0	CHEBI:17544
M_na1_c	Sodium	c	1	False	247	1.0	
M_2mcit_c	2-methylcitrate(3-)	c	-3	False	247	1.0	CHEBI:15598
M_2mcit_e	2-methylcitrate(3-)	e	-3	False	247	1.0	CHEBI:15598
M_2oxoadp_m	2-oxoadipate(2-)	m	-2	False	247	1.0	CHEBI:57499
M_coa_m	Coenzyme A	m	-4	False	247	1.0	CHEBI:57287
M_nad_m	Nicotinamide adenine dinucleotide	m	-1	False	247	1.0	CHEBI:57540
M_co2_m	CO2	m	0	False	247	1.0	CHEBI:16526
M_glutcoa_m	glutaryl-CoA(5-)	m	-5	False	247	1.0	CHEBI:57378
M_nadh_m	Nicotinamide adenine dinucleotide - reduced	m	-2	False	247	1.0	CHEBI:57945
M_2oxoadp_c	2-oxoadipate(2-)	c	-2	False	247	1.0	CHEBI:57499
M_34dhmald_c	3,4-Dihydroxymandelaldehyde	c	0	False	247	1.0	
M_34dhoxpeg_c	3,4-Dihydroxyphenylethyleneglycol	c	0	False	247	1.0	
M_34dhoxpeg_e	3,4-Dihydroxyphenylethyleneglycol	e	0	False	247	1.0	
M_34dhpha_c	(3,4-dihydroxyphenyl)acetate	c	-1	False	247	1.0	CHEBI:17612
M_amet_c	S-Adenosyl-L-methionine	c	1	False	247	1.0	CHEBI:15414
M_ahcys_c	S-Adenosyl-L-homocysteine	c	0	False	247	1.0	CHEBI:16680
M_homoval_c	Homovanillate	c	-1	False	247	1.0	CHEBI:545959
M_34dhphe_e	L-dopa	e	0	False	247	1.0	CHEBI:15765
M_34dhphe_c	L-dopa	c	0	False	247	1.0	CHEBI:15765
M_34dhpac_c	3,4-Dihydroxyphenylacetaldehyde	c	0	False	247	1.0	CHEBI:27978
M_34dhoxmand_c	3,4-Dihydroxymandelate	c	-1	False	247	1.0	CHEBI:27637
M_34hpp_m	3-(4-hydroxyphenyl)pyruvate	m	-1	False	247	1.0	CHEBI:36242
M_34hpl_m	3-(4-hydroxyphenyl)lactate	m	-1	False	247	1.0	CHEBI:36659
M_34hpp_c	3-(4-hydroxyphenyl)pyruvate	c	-1	False	247	1.0	CHEBI:36242
M_co2_c	CO2	c	0	False	247	1.0	
M_hgentis_c	homogentisate	c	-1	False	247	1.0	CHEBI:16169
M_35cgmp_c	3,5-cyclic GMP(1-)	c	-1	False	247	1.0	CHEBI:57746
M_35cgmp_n	3,5-cyclic GMP(1-)	n	-1	False	247	1.0	CHEBI:57746
M_3aib_c	(S)-3-aminoisobutyric acid	c	0	False	247	1.0	CHEBI:33094
M_3aib_e	(S)-3-aminoisobutyric acid	e	0	False	247	1.0	CHEBI:33094
M_2mop_m	2-methyl-3-oxopropanoate	m	-1	False	247	1.0	CHEBI:57700
M_glu_L_m	L-glutamate(1-)	m	-1	False	247	1.0	CHEBI:29985
M_3aib_m	(S)-3-aminoisobutyric acid	m	0	False	247	1.0	CHEBI:33094
M_3dphb_m	3-Decaprenyl-4-hydroxybenzoate	m	-1	False	247	1.0	
M_3dpdhb_m	3-Decaprenyl-4,5-dihdydroxybenzoate	m	-1	False	247	1.0	CHEBI:50775
M_3dsphgn_c	(2S)-1-hydroxy-3-oxooctadecan-2-aminium	c	1	False	247	1.0	CHEBI:58299
M_sphgn_c	sphinganine(1+)	c	1	False	247	1.0	CHEBI:57817
M_3hanthrn_c	3-hydroxyanthranilate	c	0	False	247	1.0	CHEBI:36559
M_cmusa_c	cis,cis-2-amino-3-(3-oxoprop-1-enyl)but-2-enedioate	c	-1	False	247	1.0	CHEBI:994
M_b2coa_m	crotonoyl-CoA(4-)	m	-4	False	247	1.0	CHEBI:57332
M_3hbcoa_R_m	(R)-3-hydroxybutanoyl-CoA(4-)	m	-4	False	247	1.0	CHEBI:57315
M_3hibutcoa_m	(S)-3-Hydroxyisobutyryl-CoA	m	-4	False	247	1.0	CHEBI:28259
M_3hmp_m	3-hydroxy-2-methylpropanoate	m	-1	False	247	1.0	CHEBI:11805
M_hLkynr_c	3-hydroxy-L-kynurenine	c	0	False	247	1.0	CHEBI:17380
M_42A3HP24DB_c	4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoate	c	-1	False	247	1.0	
M_glu_L_c	L-glutamate(1-)	c	-1	False	247	1.0	CHEBI:29985
M_dopa_c	dopaminium(1+)	c	1	False	247	1.0	CHEBI:59905
M_3hpcoa_c	3-hydroxypropanoyl-CoA(4-)	c	-4	False	247	1.0	CHEBI:58528
M_3hpp_c	3-hydroxypropionate	c	-1	False	247	1.0	CHEBI:16510
M_coa_c	Coenzyme A	c	-4	False	247	1.0	
M_msa_c	3-oxopropanoate	c	-1	False	247	1.0	CHEBI:33190
M_3hxkynam_c	3-Hydroxykynurenamine	c	1	False	247	1.0	
M_48dhoxquin_c	quinoline-4,8-diol	c	0	False	247	1.0	CHEBI:28883
M_3mox4hpac_c	(4-hydroxy-3-methoxyphenyl)acetaldehyde	c	0	False	247	1.0	CHEBI:28111
M_3mlda_c	3-Methylimidazoleacetic acid	c	-1	False	247	1.0	
M_3mlda_e	3-Methylimidazoleacetic acid	e	-1	False	247	1.0	
M_3mob_c	3-methyl-2-oxobutanoate	c	-1	False	247	1.0	CHEBI:11851
M_3mob_m	3-methyl-2-oxobutanoate	m	-1	False	247	1.0	CHEBI:11851
M_3mop_c	3-methyl-2-oxopentanoate	c	-1	False	247	1.0	CHEBI:28654
M_3mop_m	3-methyl-2-oxopentanoate	m	-1	False	247	1.0	CHEBI:28654
M_3m4hpga_c	3-Methoxy-4-hydroxyphenylglycolaldehyde	c	0	False	247	1.0	
M_3mox4hoxm_c	3-Methoxy-4-hydroxymandelate	c	-1	False	247	1.0	CHEBI:27622
M_3moxtyr_c	3-Methoxytyramine	c	1	False	247	1.0	
M_3amp_l	3-AMP(2-)	l	-2	False	247	1.0	CHEBI:60880
M_h2o_l	water	l	0	False	247	1.0	CHEBI:15377
M_adn_l	adenosine	l	0	False	247	1.0	CHEBI:16335
M_pi_l	hydrogenphosphate	l	-2	False	247	1.0	CHEBI:43474
M_3sala_m	3-sulfino-L-alanine (1-)	m	-2	False	247	1.0	CHEBI:61085
M_asp_L_c	L-aspartate(1-)	c	-1	False	247	1.0	CHEBI:29991
M_3sala_c	3-Sulfino-L-alanine	c	-2	False	247	1.0	CHEBI:61085
M_asp_L_m	L-aspartate(1-)	m	-1	False	247	1.0	CHEBI:29991
M_hyptaur_c	Hypotaurine	c	0	False	247	1.0	CHEBI:16668
M_3snpyr_c	3-Sulfinopyruvate	c	-2	False	247	1.0	CHEBI:1665
M_3snpyr_m	3-Sulfinopyruvate	m	-2	False	247	1.0	CHEBI:1665
M_so3_c	Sulfite	c	-2	False	247	1.0	CHEBI:17137
M_pyr_m	pyruvate	m	-1	False	247	1.0	CHEBI:15361
M_so3_m	hydrogensulfite	m	-2	False	247	1.0	CHEBI:17137
M_adrnl_c	Adrenaline	c	1	False	247	1.0	CHEBI:33568
M_mma_c	methylammonium	c	1	False	247	1.0	CHEBI:59338
M_nrpphr_c	Norepinephrine	c	1	False	247	1.0	CHEBI:33569
M_4abut_c	4-Aminobutanoate	c	0	False	247	1.0	
M_4abut_m	4-Aminobutanoate	m	0	False	247	1.0	CHEBI:16865
M_coucoa_m	4-coumaroyl-CoA(4-)	m	-4	False	247	1.0	CHEBI:57355
M_4hbzcoa_m	4-hydroxybenoyl-CoA	m	-4	False	247	1.0	
M_accoa_m	Acetyl-CoA	m	-4	False	247	1.0	CHEBI:57288
M_4hbz_m	4-hydroxybenzoate	m	-1	False	247	1.0	CHEBI:17879
M_4hdebrisoquine_e	4 hydroxy debrisoquine	e	1	False	247	1.0	
M_4hdebrisoquine_c	4 hydroxy debrisoquine	c	1	False	247	1.0	
M_4hglusa_m	L-4-hydroxyglutamic semialdehyde	m	0	False	247	1.0	CHEBI:27809
M_e4hglu_m	erythro-4-hydroxy-L-glutamate(1-)	m	-1	False	247	1.0	CHEBI:6331
M_4hoxpacd_c	(4-hydroxyphenyl)acetaldehyde	c	0	False	247	1.0	CHEBI:15621
M_4hphac_c	4-hydroxyphenylacetate	c	-1	False	247	1.0	CHEBI:48999
M_4mop_c	4-methyl-2-oxopentanoate	c	-1	False	247	1.0	CHEBI:17865
M_4mop_m	4-methyl-2-oxopentanoate	m	-1	False	247	1.0	CHEBI:17865
M_4mptnl_c	4-methylpentanal	c	0	False	247	1.0	CHEBI:17998
M_4mptnl_e	4-methylpentanal	e	0	False	247	1.0	CHEBI:17998
M_4mptnl_m	4-methylpentanal	m	0	False	247	1.0	CHEBI:17998
M_4mptnl_r	4-methylpentanal	r	0	False	247	1.0	CHEBI:17998
M_4mtolbutamide_e	4 hydroxy tolbutamide	e	0	False	247	1.0	
M_4mtolbutamide_c	4 hydroxy tolbutamide	c	0	False	247	1.0	
M_4nphsf_e	4-Nitrophenyl sulfate	e	-1	False	247	1.0	CHEBI:35422
M_4nphsf_c	4-Nitrophenyl sulfate	c	-1	False	247	1.0	CHEBI:35422
M_4nph_c	4-nitrophenolate	c	0	False	247	1.0	CHEBI:57917
M_4nph_e	4-nitrophenolate	e	0	False	247	1.0	CHEBI:57917
M_4pyrdx_c	4-pyridoxate	c	0	False	247	1.0	CHEBI:30959
M_4pyrdx_e	4-pyridoxate	e	0	False	247	1.0	CHEBI:30959
M_5adtststeroneglc_c	5alpha-Dihydrotestosterone glucuronide	c	0	False	247	1.0	
M_5adtststeroneglc_e	5alpha-Dihydrotestosterone glucuronide	e	0	False	247	1.0	
M_5adtststeroneglc_r	5alpha-Dihydrotestosterone glucuronide	r	0	False	247	1.0	
M_5adtststerones_c	5alpha-Dihydrotestosterone sulfate	c	-1	False	247	1.0	
M_5adtststerones_e	5alpha-Dihydrotestosterone sulfate	e	-1	False	247	1.0	
M_5adtststerone_c	17beta-hydroxy-5alpha-androstan-3-one	c	0	False	247	1.0	CHEBI:16330
M_5adtststerone_e	17beta-hydroxy-5alpha-androstan-3-one	e	0	False	247	1.0	CHEBI:16330
M_5adtststerone_r	17beta-hydroxy-5alpha-androstan-3-one	r	0	False	247	1.0	CHEBI:16330
M_5aop_c	5-Amino-4-oxopentanoate	c	0	False	247	1.0	CHEBI:17549
M_5aop_m	5-Amino-4-oxopentanoate	m	0	False	247	1.0	CHEBI:17549
M_5dhf_c	pentaglutamyl folate (DHF)	c	-6	False	247	1.0	
M_5dhf_l	pentaglutamyl folate (DHF)	l	-6	False	247	1.0	
M_5fthf_e	5-formyltetrahydrofolate(2-)	e	-2	False	247	1.0	CHEBI:57457
M_5fthf_c	5-formyltetrahydrofolate(2-)	c	-2	False	247	1.0	CHEBI:57457
M_h2o_e	H2O	e	0	False	247	1.0	CHEBI:15377
M_5htrp_c	5-hydroxy-L-tryptophan	c	0	False	247	1.0	CHEBI:17780
M_srtn_c	serotonin(1+)	c	1	False	247	1.0	CHEBI:350546
M_5homeprazole_e	5 hydroxy omeprazole	e	0	False	247	1.0	
M_5homeprazole_c	5 hydroxy omeprazole	c	0	False	247	1.0	
M_5hoxindact_c	(5-hydroxyindol-3-yl)acetaldehyde	c	0	False	247	1.0	CHEBI:50157
M_5hoxindoa_c	5-Hydroxyindoleacetate	c	-1	False	247	1.0	CHEBI:27823
M_5hoxindact_m	(5-hydroxyindol-3-yl)acetaldehyde	m	0	False	247	1.0	CHEBI:50157
M_5hoxindoa_m	5-Hydroxyindoleacetate	m	-1	False	247	1.0	CHEBI:27823
M_5hoxnfkyn_c	5-hydroxy-N-formylkynurenine	c	0	False	247	1.0	CHEBI:2065
M_5htrp_e	5-hydroxy-L-tryptophan	e	0	False	247	1.0	CHEBI:17780
M_5hxkyn_c	5-hydroxykynurenine	c	0	False	247	1.0	CHEBI:2076
M_5hxkynam_c	5-Hydroxykynurenamine	c	1	False	247	1.0	
M_46dhoxquin_c	4,6-Dihydroxyquinoline	c	0	False	247	1.0	CHEBI:28799
M_5mthf_e	5-Methyltetrahydrofolate	e	-1	False	247	1.0	
M_5mthf_c	5-Methyltetrahydrofolate	c	-1	False	247	1.0	
M_5thf_c	pentaglutamyl folate (THF)	c	-6	False	247	1.0	
M_5thf_l	pentaglutamyl folate (THF)	l	-6	False	247	1.0	
M_5thf_m	pentaglutamyl folate (THF)	m	-6	False	247	1.0	
M_6dhf_c	hexaglutamyl folate (DHF)	c	-7	False	247	1.0	
M_6dhf_l	hexaglutamyl folate (DHF)	l	-7	False	247	1.0	
M_6dhf_m	hexaglutamyl folate (DHF)	m	-7	False	247	1.0	
M_6htststerone_c	6 beta hydroxy testosterone	c	0	False	247	1.0	
M_6htststerone_e	6 beta hydroxy testosterone	e	0	False	247	1.0	
M_6htststerone_r	6 beta hydroxy testosterone	r	0	False	247	1.0	
M_6thf_c	hexaglutamyl folate  (THF)	c	-7	False	247	1.0	
M_6thf_l	hexaglutamyl folate  (THF)	l	-7	False	247	1.0	
M_6thf_m	hexaglutamyl folate  (THF)	m	-7	False	247	1.0	
M_7dhchsterol_r	cholesta-5,7-dien-3beta-ol	r	0	False	247	1.0	CHEBI:17759
M_7dhchsterol_c	cholesta-5,7-dien-3beta-ol	c	0	False	247	1.0	CHEBI:17759
M_7dhf_c	heptaglutamyl folate (DHF)	c	-8	False	247	1.0	
M_7dhf_l	heptaglutamyl folate (DHF)	l	-8	False	247	1.0	
M_7dhf_m	heptaglutamyl folate (DHF)	m	-8	False	247	1.0	
M_7thf_c	heptaglutamyl folate (THF)	c	-8	False	247	1.0	
M_7thf_l	heptaglutamyl folate (THF)	l	-8	False	247	1.0	
M_7thf_m	heptaglutamyl folate (THF)	m	-8	False	247	1.0	
M_m2mn_c	(alpha-D-mannosyl)2-beta-D-mannosyl-N-acetylglucosamine	c	0	False	247	1.0	
M_man_c	D-Mannose	c	0	False	247	1.0	CHEBI:16024
M_mn_c	beta-1,4-mannose-N-acetylglucosamine	c	0	False	247	1.0	
M_m2mn_l	(alpha-D-mannosyl)2-beta-D-mannosyl-N-acetylglucosamine	l	0	False	247	1.0	
M_man_l	D-mannose	l	0	False	247	1.0	CHEBI:16024
M_mn_l	beta-1,4-mannose-N-acetylglucosamine	l	0	False	247	1.0	
M_galgluside_hs_c	galactosyl glucosyl ceramide	c	0	False	247	1.0	
M_udpgal_c	UDP-D-galactose(2-)	c	-2	False	247	1.0	CHEBI:58439
M_thcrm_hs_c	trihexosyl ceramide	c	0	False	247	1.0	
M_udp_c	UDP	c	-3	False	247	1.0	CHEBI:58223
M_galgluside_hs_g	galactosyl glucosyl ceramide	g	0	False	247	1.0	
M_udpgal_g	UDP-D-galactose(2-)	g	-2	False	247	1.0	CHEBI:58439
M_h_g	proton	g	1	False	247	1.0	CHEBI:24636
M_thcrm_hs_g	trihexosyl ceramide	g	0	False	247	1.0	
M_udp_g	UDP(3-)	g	-3	False	247	1.0	CHEBI:58223
M_T_antigen_g	T antigen (core 1)	g	0	False	247	1.0	CHEBI:22783
M_uacgam_g	UDP-N-acetyl-alpha-D-glucosamine(2-)	g	-2	False	247	1.0	CHEBI:57705
M_gncore1_g	GlcNAc-alpha-1,4-Core 1	g	0	False	247	1.0	
M_core2_g	Core 2	g	0	False	247	1.0	CHEBI:15876
M_gncore2_g	GlcNAc-alpha-1,4-Core 2	g	0	False	247	1.0	
M_acac_c	acetoacetate	c	-1	False	247	1.0	CHEBI:13705
M_aacoa_c	Acetoacetyl-CoA	c	-4	False	247	1.0	CHEBI:57286
M_amp_c	AMP	c	-2	False	247	1.0	
M_ppi_c	Diphosphate	c	-3	False	247	1.0	
M_aact_c	ammonioacetone	c	1	False	247	1.0	CHEBI:58320
M_mthgxl_c	methylglyoxal	c	0	False	247	1.0	CHEBI:17158
M_aact_m	ammonioacetone	m	1	False	247	1.0	CHEBI:58320
M_L2aadp6sa_m	L-allysine	m	0	False	247	1.0	CHEBI:17917
M_fucgalacglcgalgluside_hs_g	Type IH glycolipid	g	0	False	247	1.0	
M_udpacgal_g	UDP-N-acetyl-D-galactosamine(2-)	g	-2	False	247	1.0	CHEBI:57847
M_acgalfucgalacglcgalgluside_hs_g	Type IA glycolipid	g	0	False	247	1.0	
M_galfucgalacglcgalgluside_hs_g	Type IB glycolipid	g	0	False	247	1.0	
M_fuc12gal14acglcgalgluside_hs_g	Type IIH glycolipid	g	0	False	247	1.0	
M_galfuc12gal14acglcgalgluside_hs_g	(Gal)3 (Glc)1 (GlcNAc)1 (LFuc)1 (Cer)1	g	0	False	247	1.0	
M_acgalfuc12gal14acglcgalgluside_hs_g	(Gal)2 (GalNAc)1 (Glc)1 (GlcNAc)1 (LFuc)1 (Cer)1	g	0	False	247	1.0	
M_fucgalacgalfuc12gal14acglcgalgluside_hs_g	Type IIIH glycolipid	g	0	False	247	1.0	
M_acgalfucgalacgalfuc12gal14acglcgalgluside_hs_g	Type IIIA glycolipid	g	0	False	247	1.0	
M_fucgalacglcgal14acglcgalgluside_hs_g	VI2Fuc-nLc6	g	0	False	247	1.0	CHEBI:61648
M_acgalfucgalacglcgal14acglcgalgluside_hs_g	(Gal)3 (GalNAc)1 (Glc)1 (GlcNAc)2 (LFuc)1 (Cer)1	g	0	False	247	1.0	
M_fucgalacgalfucgalacglcgal14acglcgalgluside_hs_g	(Gal)4 (GalNAc)1 (Glc)1 (GlcNAc)2 (LFuc)2 (Cer)1	g	0	False	247	1.0	
M_acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs_g	Type IIIAb	g	0	False	247	1.0	
M_galfucgalacglcgal14acglcgalgluside_hs_g	(Gal)4 (Glc)1 (GlcNAc)2 (LFuc)1 (Cer)1	g	0	False	247	1.0	
M_fucfucgalacglcgalacglcgal14acglcgalgluside_hs_g	(Gal)4 (Glc)1 (GlcNAc)3 (LFuc)2 (Cer)1	g	0	False	247	1.0	
M_galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs_g	(Gal)6 (Glc)1 (GlcNAc)3 (LFuc)2 (Cer)1	g	0	False	247	1.0	
M_sucsal_m	Succinic semialdehyde	m	-1	False	247	1.0	CHEBI:57706
M_abt_c	L-arabinitol	c	0	False	247	1.0	CHEBI:18403
M_xylu_L_c	L-xylulose	c	0	False	247	1.0	CHEBI:17399
M_abt_e	L-arabinitol	e	0	False	247	1.0	CHEBI:18403
M_4abutn_c	4-Aminobutanal	c	1	False	247	1.0	CHEBI:58264
M_4abut_e	4-Aminobutanoate	e	0	False	247	1.0	
M_4abut_l	gamma-aminobutyric acid	l	0	False	247	1.0	CHEBI:16865
M_h_l	proton	l	1	False	247	1.0	CHEBI:24636
M_2maacoa_m	2-methylacetoacetyl-CoA(4-)	m	-4	False	247	1.0	CHEBI:57335
M_ppcoa_m	Propanoyl-CoA	m	-4	False	247	1.0	CHEBI:57392
M_accoa_c	Acetyl-CoA	c	-4	False	247	1.0	CHEBI:57288
M_aacoa_m	acetoacetyl-CoA(4-)	m	-4	False	247	1.0	CHEBI:57286
M_accoa_x	Acetyl-CoA	x	-4	False	247	1.0	CHEBI:57288
M_aacoa_x	acetoacetyl-CoA(4-)	x	-4	False	247	1.0	CHEBI:57286
M_coa_x	Coenzyme A	x	-4	False	247	1.0	CHEBI:57287
M_acac_e	acetoacetate	e	-1	False	247	1.0	CHEBI:13705
M_acac_m	acetoacetate	m	-1	False	247	1.0	CHEBI:13705
M_3odcoa_x	3-Oxodecanoyl-CoA	x	-4	False	247	1.0	CHEBI:28528
M_occoa_x	Octanoyl-CoA (n-C8:0CoA)	x	-4	False	247	1.0	CHEBI:57386
M_3oddcoa_x	3-Oxododecanoyl-CoA	x	-4	False	247	1.0	CHEBI:27868
M_dcacoa_x	Decanoyl-CoA (n-C10:0CoA)	x	-4	False	247	1.0	CHEBI:61430
M_3otdcoa_x	3-Oxotetradecanoyl-CoA	x	-4	False	247	1.0	CHEBI:28726
M_ddcacoa_x	Dodecanoyl-CoA (n-C12:0CoA)	x	-4	False	247	1.0	CHEBI:57375
M_3ohdcoa_x	3-oxopalmitoyl-CoA(4-)	x	-4	False	247	1.0	CHEBI:57349
M_tdcoa_x	Tetradecanoyl-CoA (n-C14:0CoA)	x	-4	False	247	1.0	CHEBI:57385
M_3ohodcoa_x	3-Oxooctadecanoyl-CoA	x	-4	False	247	1.0	CHEBI:50571
M_pmtcoa_x	Palmitoyl-CoA (n-C16:0CoA)	x	-4	False	247	1.0	CHEBI:57379
M_3ohxccoa_x	3-Oxohexacosyl-CoA	x	-4	False	247	1.0	CHEBI:52977
M_ttccoa_x	tetracosanoyl-CoA  (n-C24:0CoA)	x	-4	False	247	1.0	CHEBI:52974
