!!SBtab SBtabVersion="0.8" Document="recon2.v02" TableType="Reaction" TableName="Reaction"								
!Reaction	!Name	!ReactionFormula	!Location	!Regulator	!KineticLaw	!SBOTerm	!IsReversible	!Identifiers:obo.eco
R_2HBO	2-Hydroxybutyrate:NAD+ oxidoreductase	M_2hb_c + M_nad_c <=> M_h_c + M_2obut_c + M_nadh_c		_92483_1_c|_3948_2_c|_55293_1_c|_3939_1_c_3945_1_c|_3939_1_c|_160287_1_c|_3945_1_c|_3948_1_c	FLUX_VALUE	176	True	ECO:0000269
R_2HBt2	2-hydroxybutyrate cotransport with proton	M_2hb_e + M_h_e <=> M_h_c + M_2hb_c		_9123_1_c|_9194_1_c|_6566_1_c	FLUX_VALUE	185	True	ECO:0000269
R_2HCO3_NAt	bicarbonate transport (Na/HCO3 1:2 cotransport)	2 M_hco3_e + M_na1_e <=> 2 M_hco3_c + M_na1_c		_57835_3_c|_8671_1_c|_57835_2_c|_57835_1_c|_57835_4_c	FLUX_VALUE	185	True	ECO:0000269
R_2MCITt	2-methylcitrate transport via diffusion	M_2mcit_c <=> M_2mcit_e			FLUX_VALUE	185	True	ECO:0000000
R_2OXOADOXm	2-Oxoadipate:lipoamde 2-oxidoreductase(decarboxylating and acceptor-succinylating) (mitochondria)	M_2oxoadp_m + M_coa_m + M_nad_m <=> M_co2_m + M_glutcoa_m + M_nadh_m		_1738_1_m_1743_1_m_4967_1_m_8050_1_m|_1738_1_m_1743_1_m_4967_2_m_8050_1_m	FLUX_VALUE	176	False	ECO:0000304
R_2OXOADPTm	2-oxoadipate shuttle (cytosol/mitochondria)	M_akg_m + M_2oxoadp_c <=> M_akg_c + M_2oxoadp_m		_89874_1_c	FLUX_VALUE	185	True	ECO:0000269
R_34DHOXPEGOX	3,4-Dihydroxyphenylethyleneglycol:NAD+ oxidoreductase	M_h_c + M_nadh_c + M_34dhmald_c <=> M_nad_c + M_34dhoxpeg_c		_130_1_c|_127_1_c|_124_1_c_125_1_c|_131_1_c|_124_1_c_126_1_c|_128_1_c|_137872_1_c|_125_1_c_126_1_c	FLUX_VALUE	176	True	ECO:0000269
R_34DHOXPEGt	3,4-Dihydroxyphenylethyleneglycol transport (diffusion)	M_34dhoxpeg_c <=> M_34dhoxpeg_e			FLUX_VALUE	185	True	ECO:0000000
R_34DHPHAMT	3,4-Dihydroxyphenylacetate:amet O-methyltransferase	M_34dhpha_c + M_amet_c <=> M_h_c + M_ahcys_c + M_homoval_c		_1312_1_c|_1312_2_c	FLUX_VALUE	176	False	ECO:0000212
R_34DHPHEt	3,4-Dihydroxy-L-phenylalanine transport	M_34dhphe_e <=> M_34dhphe_c		_117247_1_c	FLUX_VALUE	185	True	ECO:0000269
R_34DHPLACOX	3,4-Dihydroxyphenylacetaldehyde:NAD+ oxidoreductase	M_h2o_c + M_nad_c + M_34dhpac_c <=> 2 M_h_c + M_nadh_c + M_34dhpha_c		_218_1_c|_222_1_c|_220_1_c|_221_1_c	FLUX_VALUE	176	False	ECO:0000269
R_34DHPLACOX_NADP_	3,4-Dihydroxyphenylacetaldehyde:NADP+ oxidoreductase	M_h2o_c + M_nadp_c + M_34dhpac_c <=> 2 M_h_c + M_nadph_c + M_34dhpha_c		_222_1_c|_221_1_c|_218_1_c	FLUX_VALUE	176	True	ECO:0000269
R_34DHXMANDACOX	3,4-Dihydroxymandelaldehyde:NAD+ oxidoreductase	M_h2o_c + M_nad_c + M_34dhmald_c <=> 2 M_h_c + M_nadh_c + M_34dhoxmand_c		_221_1_c|_218_1_c|_220_1_c	FLUX_VALUE	176	False	ECO:0000269
R_34DHXMANDACOX_NADP_	3,4-Dihydroxymandelaldehyde:NADP+ oxidoreductase	M_h2o_c + M_nadp_c + M_34dhmald_c <=> 2 M_h_c + M_nadph_c + M_34dhoxmand_c		_221_1_c|_222_1_c	FLUX_VALUE	176	True	ECO:0000269
R_34HPLFM	3-(4-hydroxyphenyl-)lactate formation	M_h_m + M_nadh_m + M_34hpp_m <=> M_nad_m + M_34hpl_m			FLUX_VALUE	176	False	ECO:0000000
R_34HPPOR	4-Hydroxyphenylpyruvate:oxygen oxidoreductase	M_o2_c + M_34hpp_c <=> M_co2_c + M_hgentis_c		_3242_1_c	FLUX_VALUE	176	False	ECO:0000269
R_35CGMPtn	35cGMP nuclear transport	M_35cgmp_c <=> M_35cgmp_n			FLUX_VALUE	185	True	ECO:0000000
R_3AIBt	3-amino-isobutyrate transport	M_3aib_c <=> M_3aib_e			FLUX_VALUE	185	False	ECO:0000000
R_3AIBTm	L-3-aminoisobutyrate transaminase, mitochondrial	M_2mop_m + M_glu_L_m <=> M_akg_m + M_3aib_m		_18_1_m|_18_2_m	FLUX_VALUE	176	True	ECO:0000304
R_3AIBtm	3-amino-isobutyrate transport, mitochondrial	M_3aib_m <=> M_3aib_c		_18_1_c|_18_2_c	FLUX_VALUE	185	False	ECO:0000000
R_3DPHBH1	Hydroxylation of 3-Decaprenyl-4-hydroxybenzoate (NADH)	M_h_m + M_o2_m + M_nadh_m + M_3dphb_m <=> M_h2o_m + M_nad_m + M_3dpdhb_m			FLUX_VALUE	176	False	ECO:0000000
R_3DPHBH2	Hydroxylation of 3-Decaprenyl-4-hydroxybenzoate (NADPH)	M_h_m + M_nadph_m + M_o2_m + M_3dphb_m <=> M_h2o_m + M_nadp_m + M_3dpdhb_m			FLUX_VALUE	176	False	ECO:0000000
R_3DSPHR	3-Dehydrosphinganine reductase	M_h_c + M_nadph_c + M_3dsphgn_c <=> M_nadp_c + M_sphgn_c		_2531_1_c	FLUX_VALUE	176	False	ECO:0000269
R_3HAO	3-hydroxyanthranilate 3,4-dioxygenase	M_o2_c + M_3hanthrn_c <=> M_h_c + M_cmusa_c		_23498_1_c	FLUX_VALUE	176	False	ECO:0000269
R_3HBCDm	3-hydroxybutyryl-CoA dehydratase, mitochondrial	M_h2o_m + M_b2coa_m <=> M_3hbcoa_R_m		_55268_1_m	FLUX_VALUE	176	True	ECO:0000254
R_3HBCOAHLm	3-hydroxyisobutyryl-CoA hydrolase, mitochondrial	M_h2o_m + M_3hibutcoa_m <=> M_h_m + M_coa_m + M_3hmp_m			FLUX_VALUE	176	False	ECO:0000000
R_3HKYNAKGAT	3-Hydroxy-L-kynurenine:2-oxoglutarate aminotransferase	M_akg_c + M_hLkynr_c <=> M_42A3HP24DB_c + M_glu_L_c		_51166_1_c|_883_1_c|_51166_2_c	FLUX_VALUE	176	False	ECO:0000304
R_3HLYTCL	3-Hydroxy-L-tyrosine carboxy-lyase	M_h_c + M_34dhphe_c <=> M_co2_c + M_dopa_c		_1644_1_c	FLUX_VALUE	176	False	ECO:0000269
R_3HPCOAHYD	3-hydroxyisobutyryl-Coenzyme A hydrolase	M_h2o_c + M_3hpcoa_c <=> M_h_c + M_3hpp_c + M_coa_c		_26275_1_c|_26275_2_c	FLUX_VALUE	176	False	ECO:0000269
R_3HPPD	3-hydroxypropionate dehydrogenase	M_nad_c + M_3hpp_c <=> M_h_c + M_nadh_c + M_msa_c			FLUX_VALUE	176	True	ECO:0000000
R_3HXKYNDCL	3-Hydroxykynurenamine decarboxy-lyase	M_h_c + M_hLkynr_c <=> M_co2_c + M_3hxkynam_c		_1644_1_c	FLUX_VALUE	176	False	ECO:0000000
R_3HXKYNOXDA	3-Hydroxykynurenamine:oxygen oxidoreductase(deaminating)(flavin-containing)	M_o2_c + M_3hxkynam_c <=> M_h2o2_c + M_nh4_c + M_48dhoxquin_c		_4128_1_c|_4129_1_c	FLUX_VALUE	176	False	ECO:0000000
R_3M4HDXPAC	3-Methoxy-4-hydroxyphenylacetaldehyde:NAD+ oxidoreductase	M_h2o_c + M_nad_c + M_3mox4hpac_c <=> 2 M_h_c + M_nadh_c + M_homoval_c		_218_1_c|_221_1_c|_222_1_c|_220_1_c	FLUX_VALUE	176	True	ECO:0000134
R_3MLDAt	3MLDA extracellular transport via diffusion	M_3mlda_c <=> M_3mlda_e			FLUX_VALUE	185	True	ECO:0000000
R_3MOBt2im	3-methyl-2-oxobutanoate mitochondrial transport via proton symport	M_h_c + M_3mob_c <=> M_h_m + M_3mob_m			FLUX_VALUE	185	False	ECO:0000000
R_3MOPt2im	3-Methyl-2-oxopentanoate mitochondrial transport via proton symport	M_h_c + M_3mop_c <=> M_h_m + M_3mop_m			FLUX_VALUE	185	False	ECO:0000000
R_3MOX4HOXPGALDOX	3-Methoxy-4-hydroxyphenylglycolaldehyde:NAD+ oxidoreductase	M_h2o_c + M_nad_c + M_3m4hpga_c <=> 2 M_h_c + M_nadh_c + M_3mox4hoxm_c		_222_1_c|_220_1_c|_221_1_c|_218_1_c	FLUX_VALUE	176	False	ECO:0000304
R_3MOX4HOXPGALDOX_NADP_	3-Methoxy-4-hydroxyphenylglycolaldehyde:NADP+ oxidoreductase	M_h2o_c + M_nadp_c + M_3m4hpga_c <=> 2 M_h_c + M_nadph_c + M_3mox4hoxm_c		_222_1_c|_220_1_c|_221_1_c|_218_1_c	FLUX_VALUE	176	True	ECO:0000304
R_3MOXTYROX	3-Methoxytyramine:oxygen oxidoreductase (deaminating)	M_h2o_c + M_o2_c + M_3moxtyr_c <=> M_h2o2_c + M_nh4_c + M_3mox4hpac_c		_4128_1_c|_4129_1_c	FLUX_VALUE	176	False	ECO:0000269
R_3NTD7l	3-nucleotidase (AMP), lysosome	M_3amp_l + M_h2o_l <=> M_adn_l + M_pi_l		_53_1_l	FLUX_VALUE	176	False	ECO:0000269
R_3SALAASPm	cysteinesulfinate-aspartate mitochondrial shuttle	M_3sala_m + M_asp_L_c <=> M_3sala_c + M_asp_L_m		_10165_1_c|_8604_1_c	FLUX_VALUE	185	True	ECO:0000304
R_3SALACBOXL	3-Sulfino-L-alanine carboxy-lyase	2 M_h_c + M_3sala_c <=> M_co2_c + M_hyptaur_c		_51380_1_c|_2571_1_c|_2572_1_c|_2571_2_c	FLUX_VALUE	176	False	ECO:0000269
R_3SALAOX	cysteinesulfinic acid oxidase	M_o2_c + 2 M_h_c + 2 M_3sala_c <=> 2 M_Lcyst_c			FLUX_VALUE	176	False	ECO:0000000
R_3SALATAi	3-sulfino-alanine transaminase (irreversible)	M_h_c + M_akg_c + M_3sala_c <=> M_glu_L_c + M_3snpyr_c		_2805_1_c	FLUX_VALUE	176	False	ECO:0000304
R_3SALATAim	3-sulfino-alanine transaminase (irreversible), mitochondrial	M_h_m + M_akg_m + M_3sala_m <=> M_glu_L_m + M_3snpyr_m		_2806_1_m	FLUX_VALUE	176	False	ECO:0000304
R_3SPYRSP	3-sulfinopyruvate hydrolase (spotaneous reaction)	M_h2o_c + M_3snpyr_c <=> M_h_c + M_pyr_c + M_so3_c			FLUX_VALUE	176	False	ECO:0000000
R_3SPYRSPm	3-sulfinopyruvate hydrolase (spotaneous reaction), mitochondrial	M_h2o_m + M_3snpyr_m <=> M_h_m + M_pyr_m + M_so3_m			FLUX_VALUE	176	False	ECO:0000000
R_41R1H2MAE12BOOX	4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)	M_h2o_c + M_o2_c + M_adrnl_c <=> M_h2o2_c + M_34dhmald_c + M_mma_c		_4128_1_c|_4129_1_c	FLUX_VALUE	176	False	ECO:0000269
R_41R2A1H12BOOX	4-[(1R)-2-Amino-1-hydroxyethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)	M_h2o_c + M_o2_c + M_nrpphr_c <=> M_h2o2_c + M_nh4_c + M_34dhmald_c		_4128_1_c|_4129_1_c	FLUX_VALUE	176	False	ECO:0000269
R_42A12BOOX	4-(2-Aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)	M_h2o_c + M_o2_c + M_dopa_c <=> M_h2o2_c + M_nh4_c + M_34dhpac_c		_4129_1_c|_8639_1_c|_26_1_c|_314_2_c|_314_1_c|_4128_1_c	FLUX_VALUE	176	False	ECO:0000269
R_4ABUTtm	4-aminobutanoate mitochondrial transport via diffusion	M_4abut_c <=> M_4abut_m			FLUX_VALUE	185	True	ECO:0000000
R_4HBZCOAFm	4-hydroxybenzoyl-CoA formation	M_h2o_m + M_coa_m + M_nad_m + M_coucoa_m <=> M_h_m + M_nadh_m + M_4hbzcoa_m + M_accoa_m			FLUX_VALUE	176	False	ECO:0000000
R_4HBZFm	4-hydroxybenzoate formation	M_h2o_m + M_4hbzcoa_m <=> M_h_m + M_coa_m + M_4hbz_m			FLUX_VALUE	176	False	ECO:0000000
R_4HDEBRISOQUINEte	xenobiotic transport	M_4hdebrisoquine_e <=> M_4hdebrisoquine_c			FLUX_VALUE	185	True	ECO:0000000
R_4HGLSDm	L-4-hydroxyglutamate semialdehyde dehydrogenase, mitochondrial	M_h2o_m + M_nad_m + M_4hglusa_m <=> 2 M_h_m + M_nadh_m + M_e4hglu_m		_8659_1_m|_8659_2_m	FLUX_VALUE	176	True	ECO:0000212
R_4HOXPACDOX_NADP_	4-Hydroxyphenylacetaldehyde:NADP+ oxidoreductase	M_h2o_c + M_nadp_c + M_4hoxpacd_c <=> 2 M_h_c + M_nadph_c + M_4hphac_c		_222_1_c|_220_1_c|_221_1_c|_218_1_c	FLUX_VALUE	176	True	ECO:0000304
R_4MOPt2im	4-methyl-2-oxopentanoate mitochondrial transport  via proton symport	M_h_c + M_4mop_c <=> M_h_m + M_4mop_m			FLUX_VALUE	185	False	ECO:0000000
R_4MPTNLte	4-methylpentanal transport	M_4mptnl_c <=> M_4mptnl_e			FLUX_VALUE	185	True	ECO:0000000
R_4MPTNLtm	4-methylpentanal transport (mitochondria)	M_4mptnl_c <=> M_4mptnl_m			FLUX_VALUE	185	True	ECO:0000000
R_4MPTNLtr	4-methylpentanal transport (ER)	M_4mptnl_c <=> M_4mptnl_r			FLUX_VALUE	185	True	ECO:0000000
R_4MTOLBUTAMIDEte	xenobiotic transport	M_4mtolbutamide_e <=> M_4mtolbutamide_c			FLUX_VALUE	185	True	ECO:0000000
R_4NPHSFte	xenobiotic transport	M_4nphsf_e <=> M_4nphsf_c			FLUX_VALUE	185	True	ECO:0000000
R_4NPHSULT	4-Nitrophenol Sulfotransferase	M_paps_c + M_4nph_c <=> M_h_c + M_pap_c + M_4nphsf_c		_6799_1_c|_6817_3_c|_6799_2_c|_6818_2_c|_6817_2_c|_6818_1_c|_6817_1_c|_6817_4_c|_6818_3_c|_6817_5_c	FLUX_VALUE	176	False	ECO:0000269
R_4NPHte	xenobiotic transport	M_4nph_e <=> M_4nph_c			FLUX_VALUE	185	True	ECO:0000000
R_4PYRDX	4-Pyridoxal secretion	M_h2o_c + M_atp_c + M_4pyrdx_c <=> M_adp_c + M_h_c + M_pi_c + M_4pyrdx_e			FLUX_VALUE	185	False	ECO:0000000
R_5ADTSTSTERONEGLCte	glucuronidated compound transport	M_h2o_c + M_atp_c + M_5adtststeroneglc_c <=> M_adp_c + M_h_c + M_pi_c + M_5adtststeroneglc_e		_4363_1_c	FLUX_VALUE	185	False	ECO:0000304
R_5ADTSTSTERONEGLCtr	glucuronidated compound transport	M_5adtststeroneglc_c <=> M_5adtststeroneglc_r			FLUX_VALUE	185	True	ECO:0000000
R_5ADTSTSTERONESte	sulfonated testosterone transport	M_5adtststerones_c <=> M_5adtststerones_e			FLUX_VALUE	185	True	ECO:0000000
R_5ADTSTSTERONESULT	5alpha-Dihydrotestosterone sulfotransferase	M_paps_c + M_5adtststerone_c <=> M_h_c + M_pap_c + M_5adtststerones_c		_6822_1_c	FLUX_VALUE	176	False	ECO:0000269
R_5ADTSTSTERONEte	5 alpha dihydrotesterone transport	M_5adtststerone_e <=> M_5adtststerone_c			FLUX_VALUE	185	True	ECO:0000000
R_5ADTSTSTERONEtr	5 alpha dihydrotesterone intracellular transport	M_5adtststerone_r <=> M_5adtststerone_c			FLUX_VALUE	185	True	ECO:0000000
R_5AOPtm	5-Aminolevulinate mitochondrial transport	M_5aop_c <=> M_5aop_m			FLUX_VALUE	185	True	ECO:0000134
R_5DHFtl	5-glutamyl-DHF transport, lysosomal	M_5dhf_c <=> M_5dhf_l			FLUX_VALUE	185	False	ECO:0000000
R_5FTHFt2	5-formyltetrahydrofolate transport via anion exchange	M_h2o_c + M_5fthf_e <=> M_5fthf_c + M_h2o_e		_6573_1_c|_6573_2_c	FLUX_VALUE	185	True	ECO:0000269
R_5HLTDL	5-Hydroxy-L-tryptophan decarboxy-lyase	M_h_c + M_5htrp_c <=> M_co2_c + M_srtn_c		_1644_1_c	FLUX_VALUE	176	False	ECO:0000269
R_5HOMEPRAZOLEte	xenobiotic transport	M_5homeprazole_e <=> M_5homeprazole_c			FLUX_VALUE	185	True	ECO:0000000
R_5HOXINDACTO2OX	5-Hydroxyindoleacetaldehyde:oxygen oxidoreductase	M_h2o_c + M_o2_c + M_5hoxindact_c <=> M_h2o2_c + M_h_c + M_5hoxindoa_c		_316_1_c	FLUX_VALUE	176	False	ECO:0000304
R_5HOXINDACTOXm	5-Hydroxyindoleacetaldehyde:NAD+ oxidoreductase (mito)	M_h2o_m + M_nad_m + M_5hoxindact_m <=> 2 M_h_m + M_nadh_m + M_5hoxindoa_m		_8659_2_m|_219_1_m|_8659_1_m|_217_1_m	FLUX_VALUE	176	False	ECO:0000304
R_5HOXINOXDA	5-Hydroxytryptamine:oxygen oxidoreductase(deaminating)(flavin-containing)	M_h2o_c + M_o2_c + M_srtn_c <=> M_h2o2_c + M_nh4_c + M_5hoxindact_c		_4128_1_c|_4129_1_c	FLUX_VALUE	176	False	ECO:0000269
R_5HTRPDOX	5-Hydroxy-L-tryptophan:oxygen 2,3-dioxygenase (indole-decyclizing)	M_o2_c + M_5htrp_c <=> M_5hoxnfkyn_c		_3620_1_c	FLUX_VALUE	176	False	ECO:0000134
R_5HTRPVESSEC	5-hydroxy-L-tryptophan secretion via secretory vesicle (ATP driven)	M_h2o_c + M_atp_c + M_5htrp_c <=> M_adp_c + M_h_c + M_pi_c + M_5htrp_e		_6570_1_c|_6571_1_c	FLUX_VALUE	185	False	ECO:0000269
R_5HXKYNDCL	5-Hydroxykynurenamine decarboxy-lyase	M_h_c + M_5hxkyn_c <=> M_co2_c + M_5hxkynam_c		_1644_1_c	FLUX_VALUE	176	False	ECO:0000212
R_5HXKYNOXDA	5-Hydroxykynurenamine:oxygen oxidoreductase(deaminating)(flavin-containing)	M_o2_c + M_5hxkynam_c <=> M_h2o2_c + M_nh4_c + M_46dhoxquin_c		_4128_1_c|_4129_1_c	FLUX_VALUE	176	False	ECO:0000212
R_5MTHFt	5-Methyltetrahydrofolate transport via receptor binding and protolysis	M_5mthf_e <=> M_5mthf_c		_2348_5_c|_2348_3_c|_2348_1_c|_2348_6_c|_2352_1_c|_2348_4_c|_2348_2_c	FLUX_VALUE	185	True	ECO:0000269
R_5MTHFt2	5-methyltetrahydrofolate transport via anion exchange	M_h2o_c + M_5mthf_e <=> M_h2o_e + M_5mthf_c		_6573_1_c|_6573_2_c	FLUX_VALUE	185	True	ECO:0000269
R_5THFtl	5-glutamyl-THF transport, lysosomal	M_5thf_c <=> M_5thf_l			FLUX_VALUE	185	False	ECO:0000000
R_5THFtm	5-glutamyl-THF transport,m mitochondrial	M_5thf_m <=> M_5thf_c			FLUX_VALUE	185	False	ECO:0000000
R_6DHFtl	6-glutamyl-DHF transport, lysosomal	M_6dhf_c <=> M_6dhf_l			FLUX_VALUE	185	False	ECO:0000000
R_6DHFtm	6-glutamyl-DHF transport,m mitochondrial	M_6dhf_m <=> M_6dhf_c			FLUX_VALUE	185	False	ECO:0000000
R_6HTSTSTERONEte	hydroxylated testosterone transport	M_6htststerone_c <=> M_6htststerone_e			FLUX_VALUE	185	True	ECO:0000000
R_6HTSTSTERONEtr	hydroxylated testosterone transport	M_6htststerone_c <=> M_6htststerone_r			FLUX_VALUE	185	True	ECO:0000000
R_6THFtl	6-glutamyl-THF transport, lysosomal	M_6thf_c <=> M_6thf_l			FLUX_VALUE	185	False	ECO:0000000
